Site ID,query_count,Country,Region,missing_page_count,sae_count
35,1.0,0,0,0.0,0.0
CIV,0.0,0,0,12.0,0.0
GHA,0.0,0,0,4.0,0.0
RWA,0.0,0,0,1.0,0.0
Site 109,128.0,COD,EMEA,0.0,1.0
Site 11,97.0,UGA,EMEA,0.0,0.0
Site 113,43.0,RWA,EMEA,0.0,0.0
Site 124,17.0,TZA,EMEA,0.0,0.0
Site 125,69.0,TZA,EMEA,0.0,3.0
Site 126,31.0,TZA,EMEA,0.0,0.0
Site 1673,60.0,GHA,EMEA,0.0,1.0
Site 2,248.0,BFA,EMEA,0.0,1.0
Site 2161,1.0,IND,ASIA,0.0,0.0
Site 2162,15.0,NER,0,0.0,0.0
Site 259,29.0,BFA,EMEA,0.0,0.0
Site 28,27.0,BFA,EMEA,0.0,0.0
Site 3,262.0,BFA,EMEA,0.0,1.0
Site 353,33.0,ZMB,EMEA,0.0,0.0
Site 4,190.0,BFA,EMEA,0.0,2.0
Site 417,51.0,RWA,EMEA,0.0,0.0
Site 466,50.0,COD,EMEA,0.0,0.0
Site 467,131.0,COD,EMEA,0.0,2.0
Site 468,9.0,COD,EMEA,0.0,3.0
Site 469,172.0,GHA,EMEA,0.0,0.0
Site 47,165.0,COD,EMEA,0.0,1.0
Site 48,26.0,GAB,EMEA,0.0,1.0
Site 50,62.0,GAB,EMEA,0.0,0.0
Site 502,48.0,RWA,EMEA,0.0,0.0
Site 504,40.0,RWA,EMEA,0.0,0.0
Site 506,49.0,RWA,EMEA,0.0,0.0
Site 61,59.0,CIV,EMEA,0.0,0.0
Site 62,40.0,CIV,EMEA,0.0,2.0
Site 63,99.0,CIV,EMEA,0.0,0.0
Site 64,86.0,CIV,EMEA,0.0,2.0
Site 7,101.0,KEN,EMEA,0.0,0.0
Site 780,101.0,ZMB,EMEA,0.0,0.0
Site 79,131.0,KEN,EMEA,0.0,1.0
Site 8,84.0,KEN,EMEA,0.0,0.0
Site 9,175.0,MLI,EMEA,0.0,0.0
UGA,0.0,0,0,1.0,0.0
