Site ID,query_count,Country,Region,missing_page_count,sae_count
27,1,0,0,0.0,0.0
Site 1,1,FRA,EMEA,0.0,0.0
Site 10,3,DEU,EMEA,0.0,52.0
Site 11,2,SGP,ASIA,2.0,0.0
Site 12,1,KOR,ASIA,2.0,0.0
Site 13,2,ESP,EMEA,0.0,0.0
Site 14,14,ESP,EMEA,4.0,38.0
Site 15,16,ESP,EMEA,25.0,211.0
Site 16,5,ESP,EMEA,0.0,13.0
Site 17,3,ESP,EMEA,8.0,8.0
Site 18,14,USA,AMERICA,3.0,59.0
Site 19,5,USA,AMERICA,33.0,32.0
Site 2,4,FRA,EMEA,16.0,3.0
Site 20,1,USA,AMERICA,0.0,0.0
Site 21,3,USA,AMERICA,19.0,13.0
Site 22,1,USA,AMERICA,22.0,0.0
Site 23,3,USA,AMERICA,9.0,43.0
Site 24,1,USA,AMERICA,0.0,46.0
Site 25,2,GBR,EMEA,0.0,3.0
Site 26,3,CHN,ASIA,5.0,0.0
Site 27,3,CHN,ASIA,2.0,92.0
Site 3,3,FRA,EMEA,1.0,3.0
Site 4,2,FRA,EMEA,10.0,55.0
Site 5,1,AUT,EMEA,2.0,0.0
Site 6,2,AUT,EMEA,28.0,3.0
Site 7,1,ISR,EMEA,2.0,26.0
Site 8,1,ISR,EMEA,0.0,0.0
Site 9,1,CZE,EMEA,0.0,0.0
