Site ID,query_count,Country,Region,missing_page_count,sae_count
169,1.0,0,0,0,0.0
-,0.0,0,0,0,230.0
Site 1,24.0,KOR,ASIA,0,10.0
Site 10,15.0,AUT,EMEA,0,110.0
Site 108,27.0,TWN,ASIA,0,102.0
Site 109,16.0,SGP,ASIA,0,36.0
Site 11,14.0,NLD,EMEA,0,134.0
Site 110,4.0,AUT,EMEA,0,4.0
Site 111,1.0,BEL,EMEA,0,2.0
Site 112,13.0,BEL,EMEA,0,101.0
Site 113,7.0,DNK,EMEA,0,50.0
Site 114,16.0,FRA,EMEA,0,137.0
Site 115,19.0,FRA,EMEA,0,105.0
Site 116,39.0,FRA,EMEA,0,163.0
Site 117,8.0,FRA,EMEA,0,16.0
Site 118,19.0,FRA,EMEA,0,161.0
Site 119,11.0,FRA,EMEA,0,168.0
Site 120,17.0,FRA,EMEA,0,226.0
Site 121,8.0,FRA,EMEA,0,2.0
Site 122,9.0,FRA,EMEA,0,6.0
Site 123,3.0,FRA,EMEA,0,7.0
Site 124,5.0,DEU,EMEA,0,35.0
Site 125,19.0,DEU,EMEA,0,33.0
Site 126,26.0,DEU,EMEA,0,336.0
Site 127,4.0,DEU,EMEA,0,13.0
Site 128,3.0,DEU,EMEA,0,25.0
Site 129,1.0,DEU,EMEA,0,30.0
Site 13,12.0,CAN,AMERICA,0,111.0
Site 130,8.0,NLD,EMEA,0,57.0
Site 131,3.0,NLD,EMEA,0,57.0
Site 132,7.0,NLD,EMEA,0,42.0
Site 133,24.0,POL,EMEA,0,45.0
Site 134,6.0,POL,EMEA,0,28.0
Site 135,10.0,POL,EMEA,0,46.0
Site 136,10.0,ESP,EMEA,0,12.0
Site 137,13.0,ESP,EMEA,0,86.0
Site 138,23.0,ESP,EMEA,0,265.0
Site 139,53.0,ESP,EMEA,0,209.0
Site 14,3.0,CAN,AMERICA,0,1.0
Site 140,27.0,ESP,EMEA,0,197.0
Site 141,4.0,ESP,EMEA,0,6.0
Site 142,13.0,ESP,EMEA,0,227.0
Site 143,17.0,ESP,EMEA,0,67.0
Site 144,10.0,ESP,EMEA,0,0.0
Site 145,8.0,ESP,EMEA,0,11.0
Site 146,16.0,ESP,EMEA,0,109.0
Site 147,4.0,SWE,EMEA,0,9.0
Site 148,8.0,SWE,EMEA,0,103.0
Site 149,7.0,SWE,EMEA,0,78.0
Site 15,3.0,CAN,AMERICA,0,15.0
Site 150,4.0,CHE,EMEA,0,184.0
Site 151,4.0,CHE,EMEA,0,20.0
Site 152,1.0,CHE,EMEA,0,0.0
Site 153,4.0,GBR,EMEA,0,4.0
Site 154,6.0,GBR,EMEA,0,23.0
Site 155,4.0,GBR,EMEA,0,7.0
Site 156,8.0,GBR,EMEA,0,22.0
Site 157,3.0,GBR,EMEA,0,13.0
Site 158,6.0,GBR,EMEA,0,25.0
Site 159,5.0,GBR,EMEA,0,19.0
Site 16,5.0,CAN,AMERICA,0,11.0
Site 160,3.0,GBR,EMEA,0,0.0
Site 161,3.0,CZE,EMEA,0,24.0
Site 162,18.0,CZE,EMEA,0,18.0
Site 163,2.0,CAN,AMERICA,0,25.0
Site 164,14.0,CAN,AMERICA,0,214.0
Site 165,2.0,CHN,ASIA,0,0.0
Site 166,5.0,CHN,ASIA,0,73.0
Site 167,1.0,CHN,ASIA,0,1.0
Site 168,17.0,CHN,ASIA,0,25.0
Site 169,2.0,CHN,ASIA,0,0.0
Site 170,8.0,CHN,ASIA,0,49.0
Site 171,19.0,CHN,ASIA,0,22.0
Site 172,4.0,CHN,ASIA,0,6.0
Site 173,7.0,CHN,ASIA,0,76.0
Site 174,14.0,CHN,ASIA,0,136.0
