Site ID,query_count,Country,Region,missing_page_count,sae_count
34,1.0,0,0,0.0,0
CHN,0.0,0,0,6.0,0
CZE,0.0,0,0,4.0,0
JPN,0.0,0,0,8.0,0
Site 11,1.0,HUN,EMEA,0.0,0
Site 149,2.0,POL,EMEA,0.0,0
Site 153,1.0,ITA,EMEA,0.0,0
Site 154,1.0,ITA,EMEA,0.0,0
Site 28,4.0,USA,AMERICA,0.0,0
Site 29,1.0,USA,AMERICA,0.0,0
Site 32,1.0,USA,AMERICA,0.0,0
Site 33,2.0,USA,AMERICA,0.0,0
Site 357,1.0,USA,AMERICA,0.0,0
Site 36,3.0,USA,AMERICA,0.0,0
Site 38,6.0,USA,AMERICA,0.0,0
Site 40,3.0,USA,AMERICA,0.0,0
Site 42,2.0,USA,AMERICA,0.0,0
Site 451,3.0,USA,AMERICA,0.0,0
Site 452,1.0,USA,AMERICA,0.0,0
Site 453,6.0,USA,AMERICA,0.0,0
Site 454,2.0,USA,AMERICA,0.0,0
Site 455,6.0,USA,AMERICA,0.0,0
Site 456,1.0,USA,AMERICA,0.0,0
Site 457,1.0,USA,AMERICA,0.0,0
Site 458,2.0,USA,AMERICA,0.0,0
Site 459,2.0,CHN,ASIA,0.0,0
Site 460,3.0,CHN,ASIA,0.0,0
Site 461,2.0,JPN,ASIA,0.0,0
Site 462,2.0,JPN,ASIA,0.0,0
Site 463,4.0,JPN,ASIA,0.0,0
Site 464,2.0,POL,EMEA,0.0,0
Site 465,3.0,ESP,EMEA,0.0,0
Site 50,2.0,CAN,AMERICA,0.0,0
Site 51,3.0,CAN,AMERICA,0.0,0
Site 79,1.0,CHN,ASIA,0.0,0
Site 8,3.0,CHN,ASIA,0.0,0
Site 87,1.0,CZE,EMEA,0.0,0
Site 9,3.0,JPN,ASIA,0.0,0
USA,0.0,0,0,24.0,0
