Site ID,query_count,Country,Region,missing_page_count,sae_count
225,1,0,0,0,0.0
Site 1003,1,SVK,EMEA,0,0.0
Site 1004,2,SVK,EMEA,0,2.0
Site 1008,3,SVN,EMEA,0,0.0
Site 1010,4,ZAF,EMEA,0,0.0
Site 109,8,AUS,ASIA,0,1.0
Site 11,1,IND,ASIA,0,0.0
Site 12,1,ISR,EMEA,0,2.0
Site 125,4,HUN,EMEA,0,6.0
Site 126,4,HUN,EMEA,0,0.0
Site 127,2,HUN,EMEA,0,0.0
Site 13,11,NLD,EMEA,0,7.0
Site 130,7,IND,ASIA,0,0.0
Site 131,7,IND,ASIA,0,1.0
Site 148,3,ITA,EMEA,0,0.0
Site 149,21,ITA,EMEA,0,1.0
Site 154,1,JPN,ASIA,0,0.0
Site 155,9,JPN,ASIA,0,0.0
Site 158,5,JPN,ASIA,0,0.0
Site 160,4,JPN,ASIA,0,0.0
Site 162,10,KOR,ASIA,0,0.0
Site 1673,5,BRA,AMERICA,0,1.0
Site 1674,5,BRA,AMERICA,0,1.0
Site 1676,5,BRA,AMERICA,0,0.0
Site 1677,9,BRA,AMERICA,0,0.0
Site 1678,4,BRA,AMERICA,0,0.0
Site 1716,2,ISR,EMEA,0,0.0
Site 1734,6,JPN,ASIA,0,0.0
Site 1735,2,JPN,ASIA,0,0.0
Site 1736,2,JPN,ASIA,0,0.0
Site 1737,1,JPN,ASIA,0,0.0
Site 1738,15,JPN,ASIA,0,7.0
Site 1739,10,JPN,ASIA,0,0.0
Site 1740,10,JPN,ASIA,0,1.0
Site 1743,3,JPN,ASIA,0,0.0
Site 1744,6,JPN,ASIA,0,2.0
Site 1745,5,JPN,ASIA,0,0.0
Site 1747,7,MYS,ASIA,0,0.0
Site 1770,5,MEX,AMERICA,0,0.0
Site 1771,3,MEX,AMERICA,0,0.0
Site 1772,2,MEX,AMERICA,0,1.0
Site 1791,4,RUS,EMEA,0,0.0
Site 1795,2,RUS,EMEA,0,0.0
Site 1816,8,SGP,ASIA,0,0.0
Site 1845,2,ESP,EMEA,0,0.0
Site 1846,2,ESP,EMEA,0,0.0
Site 1847,1,ESP,EMEA,0,0.0
Site 1848,1,ESP,EMEA,0,0.0
Site 1849,2,ESP,EMEA,0,0.0
Site 1850,2,ESP,EMEA,0,0.0
Site 1906,7,SWE,EMEA,0,0.0
Site 1909,7,TWN,ASIA,0,0.0
Site 1951,9,VNM,ASIA,0,0.0
